Age,C/N,d13C,d15N,TC,Bsi,MS
"5,325.00",7.79,-18.78,0.77,7.78,135.53,33.82
"5,345.00",7.83,-18.98,0.98,7.63,135.86,34.24
"5,365.00",7.89,-18.82,1.09,7.63,135.21,34.42
"5,385.00",7.89,-18.92,1.27,7.32,134.53,34.9
"5,405.00",7.89,-19.13,1.64,7.06,133.61,35.59
"5,425.00",7.93,-19.38,2.1,6.91,132.42,36.4
"5,445.00",8.03,-19.58,2.19,6.59,131.26,36.99
"5,465.00",8.03,-19.65,2.24,6.67,131.95,37.47
"5,484.00",8,-19.68,2.27,6.95,133.79,37.87
"5,504.00",8.03,-19.84,2.24,6.99,135.64,38.27
"5,524.00",8.05,-19.69,2.22,6.97,137.97,38.7
"5,544.00",8.11,-19.39,2.22,7.02,140.55,39.12
"5,564.00",8.31,-19.19,2.25,7.33,143.03,39.4
"5,584.00",8.13,-19.47,2.39,7.07,140.66,39.66
"5,604.00",7.86,-19.84,2.52,6.59,135.7,40.02
"5,624.00",7.96,-19.68,2.45,6.44,130.83,40.68
"5,644.00",8.18,-19.27,2.31,7.04,130.33,41.09
"5,664.00",8.32,-18.92,2.18,7.8,132.2,41.19
"5,684.00",7.99,-19.24,2.23,7.61,134.07,40.7
"5,704.00",8.06,-19.2,2.3,7.7,135.44,40.11
"5,724.00",8.38,-18.93,2.37,7.95,136.41,39.45
"5,744.00",8.19,-19.27,2.32,7.39,137.38,38.64
"5,764.00",8.07,-19.4,2.28,7.19,137.97,37.77
"5,784.00",8.12,-19.2,2.27,7.5,138.11,36.86
"5,804.00",8.16,-19.34,2.25,7.14,138.26,36.19
"5,824.00",8.18,-19.53,2.24,6.97,138.74,35.71
"5,844.00",8.12,-19.59,2.25,7.54,139.93,35.47
"5,864.00",8.1,-19.52,2.27,7.66,141.13,35.59
"5,884.00",8.13,-19.33,2.28,7.61,142.13,35.84
"5,904.00",8.23,-18.88,2.23,7.76,142.27,36.01
"5,924.00",8.22,-18.71,2.2,7.74,142.33,36.25
"5,944.00",8.12,-18.81,2.2,7.56,142.39,36.63
"5,964.00",8.05,-18.96,2.2,7.23,142.47,37.51
"5,984.00",8.04,-18.97,2.18,7.07,142.55,38.34
"6,004.00",8.12,-18.74,2.15,7.26,142.53,38.88
"6,024.00",8.23,-18.71,2.17,7.5,140.31,38.92
"6,044.00",8.47,-18.88,2.2,7.93,137.18,38.85
"6,064.00",9.04,-19.36,2.18,8.79,134.05,39.05
"6,084.00",8.96,-19.35,2.19,8.41,132.14,39.52
"6,104.00",8.51,-18.96,2.19,7.33,131.06,40.15
"6,124.00",8.69,-18.44,2.07,7.48,129.98,40.65
"6,144.00",8.63,-18.47,2.13,7.32,125.35,41.3
"6,164.00",8.17,-19.12,2.41,6.59,116.27,42.13
"6,184.00",8.29,-18.88,2.28,7.03,107.18,42.65
"6,204.00",8.52,-18.44,2.08,7.41,104.62,43.04
"6,224.00",8.59,-18.14,2.03,6.91,116.04,43.4
"6,244.00",8.34,-18.61,2.09,6.9,127.92,44.14
"6,264.00",8.16,-19.11,2.16,7.09,136.88,45.06
