Age,C/N,d13C,d15N,TC,Bsi,MS
"3,087.00",9.22,-23.71,1.58,1.58,18.56,98.37
"3,107.00",9.13,-23.89,1.58,2.05,26.39,74.44
"3,127.00",8.81,-23.64,1.55,3.38,34.19,63.9
"3,147.00",8.45,-23.34,1.52,3.64,36.41,57.61
"3,167.00",8.1,-23.03,1.5,3.08,34.7,55.53
"3,187.00",7.7,-23.07,1.56,2.94,32.98,54.79
"3,207.00",7.21,-23.78,1.79,3.67,31.34,55.37
"3,227.00",6.99,-23.73,1.78,3.86,31.34,56.12
"3,247.00",7.73,-23.32,1.7,4.17,32.05,58.17
"3,267.00",9.35,-24.08,1.33,5.07,32.76,60.02
"3,287.00",9.95,-24.74,1.48,5.26,33.47,62.94
"3,307.00",8.6,-23.83,1.87,4.2,34.09,68.88
"3,327.00",7.53,-23.27,1.77,4.1,33.56,78.91
"3,347.00",8.21,-23.89,1.8,4.64,32.68,91.12
"3,367.00",8.02,-23.52,1.71,4.12,31.8,100.41
"3,387.00",7.39,-23.27,1.72,3.71,30.91,115.77
"3,407.00",7.06,-23.37,1.87,3.25,29.98,150.74
"3,427.00",5.83,-23.45,1.82,2.76,28.1,211.57
"3,447.00",6.62,-23.26,1.71,3.17,25.86,290.2
"3,467.00",6.37,-23.81,1.38,2.91,23.63,348.7
"3,486.00",7.04,-23.31,1.79,2.64,21.39,365.2
"3,506.00",6.51,-23.06,1.58,1.97,19.16,321.74
"3,526.00",5.06,-22.94,0.73,1.14,21.71,229.27
"3,546.00",6.13,-22.83,1.44,2.9,28.87,146.43
"3,566.00",7.17,-23.09,1.51,3.67,29.95,100.43
"3,586.00",6.97,-22.66,1.64,3.08,29.66,81.49
"3,606.00",5.89,-23.11,1.7,3.52,29.38,78.19
"3,626.00",6.07,-23.01,1.79,3.18,28.87,86.03
"3,646.00",5.91,-22.89,1.82,3.46,27.51,106.82
"3,666.00",6.84,-23.13,1.67,3.17,26.07,116.89
"3,686.00",6.18,-22.42,1.89,2.54,24.63,103.59
"3,706.00",6.71,-22.41,1.92,2.79,23.37,100.28
"3,726.00",7.23,-22.4,1.94,2.4,22.27,114.48
"3,746.00",7.46,-22.53,2.24,2.43,21.16,135.13
"3,766.00",7.77,-22.16,2.13,2.29,20.05,138.34
"3,786.00",8.19,-21.58,1.8,2.43,20.03,141.09
"3,806.00",8.46,-21.27,1.61,3.4,23.05,147.05
"3,826.00",8.34,-21.56,1.75,3.51,26.26,121.74
"3,846.00",8.21,-21.88,1.91,3.5,28.56,90.35
"3,866.00",8.05,-22.2,2.06,3.04,25.6,78.14
"3,886.00",7.27,-22.65,2.06,3.23,21.78,76.35
"3,906.00",6.34,-23.11,1.87,3.22,18.01,75.21
"3,926.00",6.49,-23.16,1.27,4.03,20.25,74.77
"3,946.00",6.79,-23.43,1.75,3.97,26.56,76.06
"3,966.00",6.86,-23.49,1.67,4.35,30.69,79.17
"3,986.00",6.21,-23.37,1.66,3.78,28.48,86.53
"4,006.00",6.26,-23.13,1.72,3.26,25.88,93.73
"4,026.00",5.53,-23.45,1.98,2.56,24.21,92.51
"4,046.00",6.37,-23.29,1.84,3.42,25.81,92.53
"4,066.00",6.31,-22.91,1.94,3.22,27.68,104.51
"4,086.00",5.97,-23.22,2.04,3.02,28.53,138.07
"4,106.00",6.09,-22.97,1.95,3.27,25.04,213.19
"4,126.00",6.93,-22.61,1.6,2.78,21.08,306.02
"4,146.00",8.78,-23.65,1.44,2.07,17.11,316.02
"4,166.00",8.91,-24.41,1.48,1.66,15.07,334.95
"4,186.00",8.52,-23.12,2,1.67,17.88,332.14
"4,206.00",8.6,-24.16,1.74,1.66,20.92,239.84
"4,226.00",8.68,-24.43,1.63,3.02,23.88,136.06
"4,246.00",8.7,-24.31,1.78,4.52,25.74,78.52
"4,266.00",7.74,-23.69,1.77,4.34,27.26,95.12
"4,286.00",7.94,-23.97,1.68,4.3,28.78,172.71
"4,306.00",7.62,-23.42,1.67,3.78,30.31,244.3
"4,326.00",8.09,-23.14,1.66,3.19,31.73,355.35
"4,346.00",8.9,-23.51,1.74,2.15,32.34,357.71
"4,366.00",9.16,-25.01,1.99,2.01,32.78,215.25
"4,386.00",10.42,-25.87,2.06,4.24,33.18,127.54
"4,406.00",11.46,-26.32,2.1,3.93,33.21,97.44
"4,426.00",9.5,-24.99,1.98,3.74,33.14,85.31
"4,446.00",10.17,-25.07,1.86,4.27,33.08,84.9
"4,466.00",9.87,-24.36,1.87,4.41,33.02,94.99
"4,485.00",8.4,-23.33,2.06,4.04,33.09,105.34
"4,505.00",7.93,-22.78,2.09,3.86,33.2,92.64
"4,525.00",8.26,-22.1,1.93,2.62,33.31,79.43
"4,545.00",8.61,-22.73,1.76,2.32,33.42,77
"4,565.00",8.32,-22.83,1.78,4.5,33.52,75.53
"4,585.00",8,-23.17,1.83,3.79,33.59,69.92
"4,605.00",8.73,-21.73,1.3,1.96,33.67,65.69
"4,625.00",8.33,-22.94,1.61,3.61,33.74,64.02
"4,645.00",8.32,-23.63,1.61,3.64,33.77,64.79
"4,665.00",8.39,-23.84,1.56,4.24,33.61,65.52
