Age,C/N,d13C,d15N,TC,Bsi,MS
"5,764.00",5.36,-24.37,2.37,0.35,16.04,430
"5,784.00",5.63,-25.1,2.03,0.38,12.17,427
"5,804.00",5.78,-25.93,1.21,0.34,13.78,427
"5,824.00",6.1,-25.34,1.25,0.43,13.04,428
"5,844.00",6.07,-23.86,1.86,0.49,10.26,432
"5,864.00",5.77,-23.94,1.55,0.38,13.84,436
"5,884.00",5.99,-23.88,1.31,0.47,13.09,436
"5,904.00",5.76,-23.63,1.46,0.45,14.19,428
"5,924.00",5.58,-23.55,1.81,0.36,11.88,419
"5,944.00",6.11,-24.44,1.75,0.34,12.96,413
"5,964.00",6.49,-24.69,1.54,0.42,13.12,411
"5,984.00",6.24,-24.31,1.7,0.43,13.66,414
"6,004.00",6.34,-24.63,1.92,0.44,13.17,419
"6,024.00",6.14,-24.09,1.65,0.46,12.74,421
"6,044.00",5.87,-23.83,1.68,0.43,14.72,417
"6,064.00",6.05,-24.1,1.84,0.44,14.16,408
"6,084.00",6.33,-24.28,1.85,0.48,15.94,394
"6,104.00",6.32,-24.12,1.84,0.49,16.14,379
"6,124.00",5.94,-23.86,1.71,0.44,15.55,362
"6,144.00",5.89,-23.99,1.83,0.43,17.03,341
"6,164.00",5.8,-24.48,2.13,0.36,13.79,358
"6,184.00",6.12,-24.92,2.33,0.29,15.71,413
"6,204.00",6.1,-24.33,2.63,0.4,14.83,447
"6,224.00",6.44,-24.55,2.19,0.5,13.83,462
"6,244.00",6.29,-24.56,2.17,0.47,15.07,465
"6,264.00",6.44,-24.32,2.31,0.42,14.35,460
"6,284.00",6.83,-24.48,2.22,0.49,14.33,452
"6,304.00",7.07,-24.75,2.03,0.51,14.16,442
"6,324.00",7.13,-24.85,1.88,0.34,12.27,435
"6,344.00",7.55,-25.46,1.63,0.22,9.06,435
"6,364.00",8.7,-26.23,2.27,0.37,12.11,441
"6,384.00",8.53,-26.42,2.93,0.37,9.76,451
"6,404.00",7.54,-26.09,3.26,0.27,11.38,462
"6,424.00",7.31,-25.59,3.19,0.3,11.57,466
"6,444.00",7.12,-25.07,3.08,0.34,11.61,463
"6,464.00",6.93,-24.56,2.98,0.39,11.66,463
"6,483.00",6.75,-24.12,2.95,0.42,11.7,467
"6,503.00",6.57,-24.18,3.38,0.38,11.67,472
"6,523.00",6.35,-24.16,3.4,0.37,11.63,479
"6,543.00",6.05,-23.9,2.83,0.4,13.26,482
"6,563.00",5.72,-23.52,2.76,0.41,15.63,478
"6,583.00",5.42,-23.14,2.91,0.4,16.91,467
"6,603.00",5.26,-22.9,3.28,0.37,15.71,457
"6,623.00",5.17,-22.99,3.37,0.34,14.41,451
"6,643.00",5.13,-23.38,3.18,0.32,13.11,447
"6,663.00",5.15,-23.63,3.35,0.3,12.95,444
"6,683.00",5.2,-23.77,3.62,0.27,13.25,450
"6,703.00",5.42,-23.56,3.17,0.34,12.46,463
"6,723.00",5.65,-23.26,2.61,0.42,14.58,476
"6,743.00",5.7,-23.21,2.81,0.39,12.94,483
"6,763.00",5.68,-23.22,3.15,0.33,11.27,487
"6,783.00",5.54,-23.46,3.17,0.28,12.01,487
"6,803.00",5.37,-23.71,3.13,0.24,12.2,483
"6,823.00",5.5,-23.48,3.3,0.28,12.78,478
"6,843.00",5.71,-23.09,3.53,0.34,12.88,473
"6,863.00",5.85,-22.99,3.37,0.38,12.96,471
"6,883.00",5.93,-23.1,2.96,0.4,13.15,473
"6,903.00",5.92,-23.22,2.78,0.4,13.61,481
"6,923.00",5.72,-23.36,3.03,0.36,13.24,491
"6,943.00",5.54,-23.48,3.28,0.32,11.88,500
"6,963.00",5.49,-23.37,3.28,0.31,11.81,509
"6,983.00",5.46,-23.2,3.22,0.31,12.35,520
"7,003.00",5.51,-23.32,3.21,0.29,12.89,529
"7,023.00",5.66,-23.86,3.29,0.24,12.85,535
"7,043.00",5.81,-24.38,3.37,0.19,11.13,540
"7,063.00",5.92,-24.42,3.43,0.19,9.3,543
"7,083.00",6.01,-24.25,3.48,0.21,7.53,540
"7,103.00",6.11,-24.08,3.54,0.22,7.65,532
"7,123.00",6.2,-23.92,3.59,0.24,8.71,520
"7,143.00",6.29,-23.75,3.65,0.25,9.76,506
"7,163.00",6.36,-23.6,3.65,0.28,10.82,493
"7,183.00",6.3,-23.53,3.37,0.35,11.87,488
"7,203.00",6.22,-23.47,3.06,0.43,12.93,491
"7,223.00",6.14,-23.45,2.83,0.49,13.98,502
"7,243.00",6.06,-23.6,3.06,0.46,15.04,516
"7,263.00",5.97,-23.78,3.35,0.41,15.9,528
"7,283.00",5.9,-23.95,3.62,0.36,15.24,536
"7,303.00",5.98,-23.99,3.7,0.35,14.27,538
"7,323.00",6.1,-23.98,3.73,0.34,13.29,537
"7,343.00",6.22,-23.97,3.76,0.33,12.31,563
"7,363.00",6.23,-23.86,3.74,0.35,11.34,500
"7,383.00",6.12,-23.62,3.68,0.38,11.12,496
"7,403.00",6.02,-23.39,3.62,0.42,11.36,488
"7,423.00",5.92,-23.18,3.55,0.45,11.6,482
"7,443.00",5.89,-23.18,3.43,0.46,11.85,477
"7,463.00",5.87,-23.2,3.29,0.46,12.09,471
"7,483.00",5.85,-23.23,3.16,0.47,12.33,466
"7,502.00",5.83,-23.33,3.12,0.46,12.57,457
"7,522.00",5.79,-23.58,3.27,0.42,12.81,447
"7,542.00",5.75,-23.82,3.43,0.39,13.05,440
"7,562.00",5.71,-24.07,3.58,0.35,13.29,443
"7,582.00",5.69,-24.07,3.72,0.33,13.54,452
"7,602.00",5.68,-23.8,3.85,0.34,13.7,465
"7,622.00",5.68,-23.53,3.97,0.34,13.53,477
"7,642.00",5.67,-23.26,4.1,0.35,13.31,485
"7,662.00",5.64,-23.13,4.1,0.35,13.09,487
"7,682.00",5.56,-23.21,3.93,0.36,12.87,486
"7,702.00",5.48,-23.29,3.77,0.36,12.65,481
"7,722.00",5.4,-23.37,3.6,0.37,12.43,472
"7,742.00",5.35,-23.42,3.46,0.37,12.33,463
"7,762.00",5.39,-23.4,3.39,0.37,12.78,458
"7,782.00",5.44,-23.37,3.34,0.37,13.29,458
"7,802.00",5.49,-23.34,3.28,0.38,13.81,461
"7,822.00",5.55,-23.33,3.23,0.38,14.32,462
"7,842.00",5.96,-23.77,3.32,0.4,14.83,459
"7,862.00",6.55,-24.41,3.47,0.42,14.83,454
"7,882.00",6.69,-24.68,3.57,0.42,12.33,433
"7,902.00",5.64,-23.9,3.17,0.34,9.6,443
"7,922.00",6,-23.68,3.84,0.28,7.7,449
"7,942.00",8.2,-25.96,5.26,0.22,8.06,454
"7,962.00",6.09,-24.96,5.23,0.15,7.7,459
"7,982.00",6,-25.53,4.74,0.15,8.28,464
"8,002.00",6.3,-24.69,6.12,0.14,8.24,468
