Age,C/N,d13C,d15N,TC,Bsi,MS
"4,745.00",8.44,-21.15,0.71,2.18,92.36,111.86
"4,765.00",9.51,-21.08,0.57,3.11,94.57,93.45
"4,785.00",9.15,-20.92,0.67,3.56,97.17,91.9
"4,805.00",8.61,-20.62,0.68,3.49,99.78,90.06
"4,825.00",9.04,-20.57,0.63,3.64,100.97,89.04
"4,845.00",9.58,-20.82,0.6,3.99,100.91,91.54
"4,865.00",9.27,-20.92,0.59,4.06,100.85,90.91
"4,885.00",8.94,-20.54,0.69,3.79,100.79,87.78
"4,905.00",8.32,-19.87,0.84,3.17,100.73,97.67
"4,925.00",8.07,-20.03,0.81,2.95,100.67,102.04
"4,945.00",8.2,-20.12,0.71,2.73,100.61,106.78
"4,965.00",8.43,-20.34,0.57,2.96,100.55,105.59
"4,985.00",8.27,-20.53,0.71,3.22,100.49,97
"5,005.00",8.47,-20.44,0.64,3.35,100.43,90.41
"5,025.00",9.09,-20.52,0.4,3.55,100.37,91.15
"5,045.00",9.02,-20.61,0.39,3.54,100.31,97.2
"5,065.00",8.59,-20.27,0.35,3.29,100.25,99.88
"5,085.00",9.47,-20.7,0.26,3.86,100.19,92.11
"5,105.00",10.59,-20.95,0.28,4.62,100.13,89.84
"5,125.00",11.13,-20.86,0.27,4.71,100.07,90.09
"5,145.00",9.68,-20.31,0.23,4.01,100.06,85.46
"5,165.00",10.23,-20.59,0.28,4.4,100.58,86.73
"5,185.00",9,-20.01,0.44,3.59,101.21,94.91
"5,205.00",9.15,-20.41,0.59,3.69,101.85,100.64
"5,225.00",8.84,-20.6,0.65,3.46,102.48,106.67
"5,245.00",8.37,-20.31,0.64,3.18,103.12,118.16
"5,265.00",8.25,-20.21,0.66,3.16,103.75,119.38
"5,285.00",8.1,-20.14,0.71,3.11,104.38,112.61
"5,305.00",8.01,-20.24,0.77,3.06,105.02,113.71
"5,325.00",8.01,-20.15,0.74,2.98,105.65,113.09
"5,345.00",9.18,-20.28,0.49,3.49,104.1,101.03
"5,365.00",11.51,-20.74,0.27,4.59,99.92,91.92
"5,385.00",10.92,-20.34,0.55,4.15,95.73,96.72
"5,405.00",8.31,-19.96,0.81,2.84,93.52,108.03
"5,425.00",8.39,-19.86,0.67,3.13,94.77,114.59
"5,445.00",8.31,-19.74,0.66,3.12,96.08,117.27
"5,465.00",8.13,-19.82,0.76,2.8,97.18,122.47
"5,484.00",7.99,-20.02,0.91,2.56,97.86,123.07
"5,504.00",8.04,-20.14,0.92,2.63,98.53,117.6
"5,524.00",8.2,-20.06,0.9,2.81,99.12,116.21
"5,544.00",8.2,-19.83,0.76,2.91,99.53,118.79
"5,564.00",8.36,-20.05,0.81,2.95,99.95,117.31
"5,584.00",8.26,-20.22,0.93,2.73,100.36,118.56
"5,604.00",8.38,-20.18,0.82,2.66,100.77,116.38
"5,624.00",8.4,-20.22,0.67,2.82,101.19,109.52
"5,644.00",8.5,-20.23,0.57,2.9,101.6,108.53
"5,664.00",8.51,-20.18,0.68,2.79,102.01,112.61
"5,684.00",8.35,-20.27,0.83,2.94,102.43,113.11
"5,704.00",8.11,-20.11,0.8,2.88,102.84,111.7
"5,724.00",8.23,-20.15,0.82,2.7,103.25,112.02
"5,744.00",9.31,-20.49,0.74,2.84,103.67,100.25
"5,764.00",11.54,-20.74,0.67,3.49,104.08,84.4
"5,784.00",13.73,-21.22,0.49,4.47,104.49,89.06
"5,804.00",11.49,-21.15,0.09,4.35,104.88,91.28
"5,824.00",9.14,-20.69,0.46,3.45,104.69,94.78
"5,844.00",9.93,-20.8,0.69,3.42,104.28,101.49
"5,864.00",8.89,-20.28,0.83,2.86,103.88,89.19
"5,884.00",7.99,-19.81,0.92,2.33,103.47,51.08
"5,904.00",7.79,-19.89,0.76,2.3,103.07,24.24
"5,924.00",10.41,-20.52,0.55,3.19,102.66,31.82
"5,944.00",14.52,-21.45,0.34,4.81,102.26,53.7
"5,964.00",10.64,-21.05,0.29,3.63,94.08,59.68
"5,984.00",13.32,-21.55,0.29,5.23,82.78,87.44
"6,004.00",11.69,-21.23,0.45,4.32,84.39,132
"6,024.00",8.32,-20.81,0.69,2.2,86.08,173.76
"6,044.00",7.77,-20.91,0.87,1.51,87.77,250.3
"6,064.00",10.16,-21.51,0.59,1.86,89.46,193.04
"6,084.00",8.87,-20.47,0.57,2.12,91.15,132.14
"6,104.00",9.9,-20.89,0.46,3.65,92.83,135.23
"6,124.00",8.54,-20.55,0.62,3,94.52,117.45
"6,144.00",7.91,-20.23,0.65,2.66,96.21,114.67
"6,164.00",12.53,-20.8,0.49,5.1,97.9,138.17
"6,184.00",10.59,-20.65,0.61,3.95,99.43,135.15
"6,204.00",7.85,-20.31,0.71,2.58,97.68,129.02
"6,224.00",7.88,-20.05,0.54,2.54,94.6,116.61
"6,244.00",8.36,-20.18,0.8,2.47,91.86,112.53
"6,264.00",9.57,-20.72,0.52,3.1,90.23,134.65
"6,284.00",9.27,-20.45,0.59,3.25,88.7,136.38
"6,304.00",7.73,-20.06,0.84,2.41,90.8,142.95
"6,324.00",7.95,-20.11,0.73,2.34,95.89,138.91
"6,344.00",7.9,-19.97,0.82,2.3,100.07,118.17
"6,364.00",7.92,-20.38,0.88,2.27,98.66,126.89
"6,384.00",7.87,-19.99,0.85,2.27,96.31,127.5
"6,404.00",7.89,-19.82,0.87,2.32,96.23,112.3
"6,424.00",8.34,-20.09,0.69,2.67,98.96,108.02
"6,444.00",10.84,-21.17,0.3,3.92,101.7,118.98
"6,464.00",10.12,-20.89,0.35,3.64,104.44,122.47
"6,483.00",8.18,-20.2,0.79,2.58,107.19,114.41
"6,503.00",7.96,-20.12,0.73,2.62,106.49,108.16
"6,523.00",11.66,-20.96,0.59,3.77,99.56,105.89
"6,543.00",10.9,-21.14,0.37,3.64,92.43,66.28
"6,563.00",11.82,-20.25,0.36,3.78,83.78,79.69
"6,583.00",26.41,-21.34,-0.22,11.36,74.59,106.8
"6,603.00",12.32,-21.21,0.38,4.24,70.5,134.63
"6,623.00",10.63,-20.85,0.52,3.51,77.55,139.18
"6,643.00",8.13,-20.13,0.79,2.25,84.99,131.21
"6,663.00",8.34,-20.28,0.71,2.36,92.43,145.28
"6,683.00",8.62,-20.49,0.62,2.61,99.88,153.61
"6,703.00",8.11,-20.28,0.91,2.17,104.09,149.73
"6,723.00",8.13,-20.11,1.12,2.02,98.16,128.62
"6,743.00",7.82,-20.21,1.19,1.88,91.58,118.47
"6,763.00",8.92,-20.47,0.79,2.47,90.96,120.75
"6,783.00",8.5,-20.58,0.73,2.45,94.09,134.13
"6,803.00",9.88,-21.64,0.16,3.26,96.46,143.69
"6,823.00",8.49,-20.89,0.61,2.53,95.32,138.07
"6,843.00",8.7,-20.53,0.51,2.44,93.75,139.55
"6,863.00",8.69,-20.6,0.52,2.49,92.19,142.82
"6,883.00",9.13,-21.03,0.53,2.65,90.62,151.86
