Age,C/N,d13C,d15N,TC,Bsi,MS
"3,167.00",8.9,-26.09,1.55,0.86,65.97,792
"3,187.00",8.85,-26.12,1.55,1.12,75.21,768
"3,207.00",9.65,-26.15,1.55,1.63,73.26,747
"3,227.00",9.6,-26.19,1.54,1.01,65.04,750
"3,247.00",9.39,-26.22,1.54,0.85,65.69,769
"3,267.00",9.93,-26.26,1.54,0.82,62.16,786
"3,287.00",10.51,-26.28,1.54,1.24,56.17,797
"3,307.00",9.92,-26.25,1.56,0.93,56.21,808
"3,327.00",9.3,-26.21,1.58,0.79,59.33,816
"3,347.00",9.22,-26.17,1.61,0.78,60.88,817
"3,367.00",10.06,-26.13,1.63,0.96,73.95,817
"3,387.00",10.51,-26.09,1.65,0.99,79.49,826
"3,407.00",10.02,-26.05,1.68,0.78,60.42,843
"3,427.00",9.36,-26.01,1.7,0.83,64.57,834
"3,447.00",9.27,-25.97,1.73,0.92,69.3,811
"3,467.00",9.12,-25.93,1.75,0.83,67.59,841
"3,486.00",9.51,-25.9,1.77,0.67,61.2,832
"3,506.00",9.27,-25.91,1.79,0.67,82.7,786
"3,526.00",9.4,-25.93,1.81,0.9,61.88,769
"3,546.00",9.7,-25.95,1.82,0.84,69.6,790
"3,566.00",9.61,-25.97,1.84,0.93,65.46,800
"3,586.00",9.44,-25.99,1.86,0.96,62.76,805
"3,606.00",9.56,-26.01,1.87,0.84,80.18,784
"3,626.00",9.47,-26.03,1.89,0.87,80.69,777
"3,646.00",9.93,-26.04,1.91,0.81,61.65,778
"3,666.00",9.81,-26.06,1.92,0.94,68.96,754
"3,686.00",9.73,-26.08,1.94,0.82,72.97,771
"3,706.00",9.3,-26.1,1.95,0.7,71.95,814
"3,726.00",10.12,-26.13,1.96,0.74,83.51,823
"3,746.00",9.65,-26.15,1.97,0.7,86.35,808
"3,766.00",9.49,-26.17,1.98,0.73,61.4,824
"3,786.00",9.6,-26.19,1.99,0.82,59.31,829
"3,806.00",9.74,-26.21,2,0.7,65.82,868
"3,826.00",9.27,-26.23,2.01,0.77,70.85,858
"3,846.00",8.87,-26.25,2.02,0.74,79.32,839
"3,866.00",9.4,-26.28,2.02,0.88,84.55,873
"3,886.00",9.15,-26.29,2.04,0.68,70.7,859
"3,906.00",8.97,-26.28,2.06,0.8,61.19,786
"3,926.00",9.49,-26.27,2.08,0.98,67.64,578
"3,946.00",9.21,-26.26,2.1,0.8,70.16,763
"3,966.00",9.38,-26.24,2.13,0.87,63.74,828
"3,986.00",9.7,-26.23,2.15,0.92,71.35,815
"4,006.00",9.8,-26.22,2.18,0.88,68.58,816
"4,026.00",9.54,-26.2,2.2,0.96,67.83,811
"4,046.00",9.26,-26.19,2.22,0.89,79.34,804
"4,066.00",9.59,-26.18,2.25,0.92,69.71,798
"4,086.00",9.69,-26.16,2.27,1.03,68.16,789
"4,106.00",9.28,-26.17,2.29,0.94,75.25,763
"4,126.00",9.15,-26.18,2.32,0.81,74.49,732
"4,146.00",9.25,-26.19,2.35,0.38,67.38,706
"4,166.00",10.23,-26.2,2.37,0.2,66.98,692
"4,186.00",10.91,-26.21,2.4,0.6,67.06,690
"4,206.00",10.12,-26.22,2.42,0.46,60.43,694
"4,226.00",9.36,-26.23,2.45,0.72,70.01,702
"4,246.00",9.3,-26.24,2.48,0.96,87.69,715
"4,266.00",9.47,-26.24,2.5,0.91,87.03,730
