Age,C/N,d13C,d15N,TC,Bsi,MS
"2,807.00",8.2,-19.95,-0.64,3.8,116,56.25
"2,827.00",8.17,-20.05,-0.58,3.87,116.5,66.6
"2,847.00",8.15,-20.15,-0.52,3.93,117,39.4
"2,867.00",8.12,-20.25,-0.47,3.99,117,13.05
"2,887.00",8.11,-20.39,-0.45,4.02,117,12.14
"2,907.00",8.12,-20.55,-0.46,4,117,13.66
"2,927.00",8.12,-20.69,-0.47,3.99,116.5,13.5
"2,947.00",8.13,-20.85,-0.48,3.97,115.5,12.79
"2,967.00",8.2,-20.9,-0.49,3.86,114.5,15.34
"2,987.00",8.39,-20.81,-0.47,3.57,113.5,17.32
"3,007.00",8.64,-20.61,-0.44,3.19,111.6,24.34
"3,027.00",8.89,-20.41,-0.41,2.81,107.7,42.46
"3,047.00",9.1,-20.21,-0.37,2.48,102.3,58.08
"3,067.00",9.06,-20.06,-0.33,2.42,96.3,59.1
"3,087.00",8.79,-20,-0.29,2.63,91.7,35.75
"3,107.00",8.49,-20,-0.25,2.87,91.3,17.47
"3,127.00",8.18,-19.96,-0.21,3.1,94.8,21.35
"3,147.00",7.88,-19.9,-0.17,3.34,98.8,21.24
"3,167.00",7.58,-19.9,-0.13,3.58,104.1,18.42
"3,187.00",7.29,-19.86,-0.09,3.81,112.4,16.76
"3,207.00",7.2,-19.84,-0.11,3.97,122.4,15.29
"3,227.00",7.43,-19.94,-0.21,4.02,132.4,9.87
"3,247.00",7.78,-20.04,-0.35,4.04,138.4,9.16
"3,267.00",8.07,-20.1,-0.47,4.06,138.6,8.73
"3,287.00",8.17,-20.1,-0.53,4.1,138,7.7
"3,307.00",8.1,-20.06,-0.54,4.15,136.7,8.92
"3,327.00",8.02,-19.96,-0.53,4.2,132.8,12.42
"3,347.00",7.96,-19.86,-0.53,4.21,127.4,17.22
"3,367.00",7.94,-19.76,-0.53,4.15,121.4,29.29
"3,387.00",7.92,-19.7,-0.52,4.08,116.7,66.76
"3,407.00",7.91,-19.66,-0.51,4,114.6,73.34
"3,427.00",7.9,-19.56,-0.51,3.91,113.6,46.84
"3,447.00",7.89,-19.46,-0.5,3.81,112.6,44.88
"3,467.00",7.9,-19.36,-0.51,3.7,111.6,22.91
"3,486.00",7.9,-19.22,-0.52,3.58,112.3,11.33
"3,506.00",7.91,-19.06,-0.53,3.46,115.7,12.16
"3,526.00",7.89,-18.96,-0.55,3.4,120.1,19.7
"3,546.00",7.8,-18.86,-0.56,3.44,124.7,21.89
"3,566.00",7.66,-18.76,-0.57,3.56,127.8,12.18
"3,586.00",7.53,-18.66,-0.58,3.67,129.8,6.53
"3,606.00",7.44,-18.6,-0.6,3.84,131.4,7.72
"3,626.00",7.43,-18.68,-0.62,4.07,132.8,9.87
"3,646.00",7.42,-18.84,-0.65,4.3,134,8.24
"3,666.00",7.43,-18.9,-0.67,4.5,134,6.84
"3,686.00",7.46,-18.9,-0.71,4.55,133.6,5.8
"3,706.00",7.51,-18.9,-0.74,4.49,133,5.41
"3,726.00",7.57,-18.9,-0.78,4.43,133,5.13
"3,746.00",7.62,-18.86,-0.81,4.37,133,5.26
"3,766.00",7.68,-18.8,-0.85,4.31,133,6.23
"3,786.00",7.69,-18.84,-0.85,4.25,133,9.04
"3,806.00",7.6,-18.94,-0.8,4.23,133,11.26
"3,826.00",7.47,-19.04,-0.73,4.22,133,8.98
"3,846.00",7.34,-19.14,-0.66,4.21,133,5.42
"3,866.00",7.22,-19.24,-0.59,4.19,133,4.62
"3,886.00",7.1,-19.34,-0.52,4.17,133.4,4.45
"3,906.00",7.09,-19.36,-0.52,4.08,134,4.9
"3,926.00",7.22,-19.22,-0.61,3.91,133.6,5.94
"3,946.00",7.38,-19.06,-0.71,3.72,132.6,6.74
"3,966.00",7.48,-19.04,-0.82,3.56,131.2,7.98
"3,986.00",7.49,-19.22,-0.94,3.43,129.2,10.03
"4,006.00",7.45,-19.48,-1.06,3.32,128,12.56
"4,026.00",7.38,-19.68,-1.17,3.17,128,15.62
"4,046.00",7.2,-19.8,-1.25,2.9,128,20.66
"4,066.00",6.89,-19.76,-1.31,2.51,128,28.55
"4,086.00",6.54,-19.7,-1.32,2.13,125.3,39.22
"4,106.00",6.1,-19.74,-1.21,1.78,116.1,53.44
"4,126.00",5.84,-19.76,-1.03,1.67,104.3,68.76
"4,146.00",6.19,-19.51,-0.89,2.08,103,61.1
"4,166.00",6.72,-19.17,-0.86,2.58,117.3,58.23
"4,186.00",6.84,-19.06,-0.88,2.69,129,61.33
"4,206.00",6.94,-18.96,-0.89,2.82,131.7,22.27
"4,226.00",6.99,-18.94,-0.9,2.99,133.4,17.27
"4,246.00",6.97,-19.04,-0.88,3.23,134.4,27.8
"4,266.00",6.94,-19.14,-0.86,3.48,135,35.88
"4,286.00",6.92,-19.2,-0.85,3.69,134.6,22.07
"4,306.00",6.93,-19.2,-0.84,3.78,134,14.94
"4,326.00",6.95,-19.2,-0.83,3.79,134,17.33
"4,346.00",6.97,-19.2,-0.82,3.79,134,14.98
"4,366.00",6.99,-19.2,-0.81,3.8,134,11.04
"4,386.00",7.01,-19.2,-0.81,3.81,133.6,8.32
"4,406.00",7.03,-19.2,-0.8,3.82,133,7.18
"4,426.00",7.05,-19.2,-0.79,3.82,133,7.96
