d13C,d15N,Age
-20.6,0,7263
-20.6,-0.01,7283
-20.6,-0.02,7303
-20.6,-0.03,7323
-20.62,-0.04,7343
-20.69,-0.05,7363
-20.7,-0.06,7383
-20.7,-0.07,7403
-20.72,-0.08,7423
-20.79,-0.07,7443
-20.82,-0.07,7463
-20.89,-0.06,7483
-20.92,-0.05,7502
-21.01,-0.05,7522
-21.09,-0.04,7542
-21.12,-0.03,7562
-21.19,-0.03,7582
-21.18,-0.04,7602
-21.09,-0.09,7622
-20.99,-0.14,7642
-20.87,-0.19,7662
-20.7,-0.24,7682
-20.59,-0.3,7702
-20.49,-0.35,7722
-20.39,-0.4,7742
-20.29,-0.44,7762
-20.24,-0.42,7782
-20.37,-0.3,7802
-20.47,-0.19,7822
-20.37,-0.17,7842
-20.18,-0.19,7862
-20.03,-0.23,7882
-20.13,-0.27,7902
-20.3,-0.25,7922
-20.27,-0.22,7942
-19.67,-0.19,7962
-19.47,-0.08,7982
