Age,d13C,d15N
7782,-26.39,1.76
7802,-26.39,1.76
7822,-26.39,1.76
7842,-26.39,1.76
7862,-26.38,1.76
7882,-26.38,1.76
7902,-26.38,1.76
7922,-26.38,1.76
7942,-26.37,1.76
7962,-26.37,1.76
7982,-26.37,1.76
8002,-26.37,1.76
