Age,d13C,d15N
7243,-23.38,2.16
7263,-23.44,2.18
7283,-23.5,2.2
7303,-23.56,2.22
7323,-23.55,2.26
7343,-23.29,2.34
7363,-23.04,2.4
7383,-23.21,2.28
7403,-23.48,2.1
7423,-23.51,2.02
7443,-23.36,2.01
7463,-23.25,1.99
7483,-23.24,1.97
7502,-23.24,1.95
7522,-23.23,1.93
7542,-23.22,1.9
7562,-23.2,1.91
7582,-23.14,1.95
7602,-23.1,1.99
7622,-23.18,2.06
7642,-23.28,2.14
7662,-23.34,2.21
7682,-23.32,2.27
7702,-23.3,2.34
7722,-23.25,2.39
7742,-23.19,2.44
7762,-23.13,2.48
7782,-23.07,2.53
7802,-23.01,2.58
7822,-22.97,2.61
7842,-23.28,2.56
7862,-23.7,2.46
7882,-24.12,2.37
7902,-24.34,2.34
7922,-24.44,2.35
7942,-24.55,2.36
7962,-24.55,2.35
7982,-24.42,2.34
8002,-24.28,2.32
