Age,d13C,d15N
7642,-20.08,0.25
7662,-19.63,0.15
7682,-20.55,0.2
7702,-20.58,0.18
7722,-20.26,0.41
7742,-19.57,1.11
7762,-20.6,1.07
7782,-21.27,0.47
7802,-20.37,0.39
7822,-20.76,0.27
7842,-20.54,0.27
7862,-20.47,-0.18
7882,-20.97,-0.21
7902,-20.63,-0.2
7922,-20.84,-0.14
7942,-20.87,-0.14
7962,-20.13,0.08
7982,-20.56,0.16
8002,-21.34,0.27
